Cust_Id,American Beauty,The Wedding Planner,Pirates of the Caribbean: The Curse of the Black Pearl,50 First Dates,What Women Want,The Bourne Supremacy,Lord of the Rings: The Fellowship of the Ring,Braveheart,Ghost,Men in Black II,The Last Samurai,Bruce Almighty,Shrek 2,Finding Nemo (Widescreen),The Sixth Sense,The Italian Job,Beijing Bicycle,Pearl Harbor,Pulp Fiction,Forrest Gump,Lord of the Rings: The Two Towers,Swordfish,Spider-Man 2,Lost in Translation,The Rock,Twister,Mystic River,John Q,Double Jeopardy,Men in Black,Two Weeks Notice,Troy,Gladiator,The Patriot,Lethal Weapon 4,Kill Bill: Vol. 1,How to Lose a Guy in 10 Days,The Shawshank Redemption: Special Edition,The Matrix,Ocean's Eleven,Independence Day,The Day After Tomorrow,Sweet Home Alabama,Con Air,The Green Mile,The Fugitive,Titanic,Indiana Jones and the Last Crusade,National Treasure,The Terminal
49890,5.0,,5.0,3.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.533701657458564,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,3.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0
53694,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,3.3565459610027855,3.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
57186,4.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.09765625,3.0,4.0,5.0,5.0,2.0,4.0,,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0
57633,5.0,2.0,4.0,2.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,2.751805646749836,2.0,5.0,2.0,5.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,,4.0,2.0,2.0,5.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,5.0,4.0,3.0,1.0
66109,2.0,1.0,1.0,,2.0,3.0,2.0,5.0,5.0,2.0,4.0,,,,4.0,4.0,2.856330014224751,5.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,,5.0,5.0,3.0,2.0,,4.0,5.0,3.0,3.0,2.0,,3.0,4.0,3.0,4.0,4.0,3.0,2.0
71594,3.0,,3.0,,4.0,4.0,5.0,5.0,4.0,,4.0,,,,5.0,3.0,2.782520325203252,4.0,4.0,4.0,5.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0
71743,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,3.797202797202797,2.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0
74320,2.0,4.0,5.0,,3.0,,5.0,,5.0,4.0,5.0,3.0,5.0,,,5.0,3.7667140825035563,5.0,,,5.0,5.0,,2.0,,5.0,2.0,,4.0,4.0,2.0,5.0,5.0,5.0,4.0,,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,,5.0,,5.0,4.0
74441,5.0,,4.0,3.0,3.0,,5.0,1.0,3.0,3.0,3.0,,5.0,5.0,5.0,,3.5983772819472617,2.0,5.0,5.0,4.0,,4.0,5.0,4.0,3.0,4.0,5.0,,4.0,4.0,3.0,1.0,1.0,3.0,4.0,,5.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0
75976,5.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,3.0,3.380952380952381,,5.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0
76196,5.0,1.0,5.0,5.0,3.0,,5.0,4.0,2.0,3.0,4.0,3.0,,4.0,4.0,3.0,2.9559834938101788,1.0,5.0,3.0,5.0,,,,4.0,2.0,,4.0,2.0,5.0,4.0,,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,,,,
78404,5.0,3.0,2.0,3.0,2.0,,1.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.006787330316742,3.0,5.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0
97893,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0589928057553957,4.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0
101807,,,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,3.521625163826999,,5.0,,5.0,5.0,3.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,,5.0,5.0,
110938,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,3.9392265193370166,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0
111033,5.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,3.164756446991404,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0
121182,3.0,,1.0,,,4.0,4.0,5.0,3.0,,5.0,,3.0,,5.0,3.0,3.2559652928416485,5.0,1.0,3.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,,3.0,5.0,5.0,1.0,,,,5.0,4.0,3.0,4.0,,3.0,5.0,3.0,2.0,5.0,2.0,2.0
122197,4.0,,3.0,,3.0,4.0,5.0,4.0,2.0,3.0,,3.0,,3.0,4.0,5.0,2.835883171070932,2.0,,5.0,5.0,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,3.0,,,4.0,3.0,4.0,5.0,,,5.0,4.0,4.0,2.0,,3.0,4.0,4.0,,3.0,,4.0
125296,4.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.376876876876877,2.0,4.0,1.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0
147386,3.0,3.0,4.0,3.0,4.0,3.0,,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.5672624647224835,5.0,,4.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,,4.0,5.0,4.0,5.0,4.0,3.0,3.0
151004,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.6333808844507844,5.0,1.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,3.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
151821,4.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,3.352773826458037,2.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0
155342,1.0,,2.0,5.0,3.0,,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.3881019830028327,4.0,1.0,1.0,1.0,5.0,4.0,,5.0,4.0,,5.0,4.0,5.0,4.0,2.0,,5.0,5.0,,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,,5.0,5.0,4.0
157667,5.0,4.0,5.0,4.0,3.0,3.0,1.0,,4.0,3.0,1.0,5.0,4.0,5.0,5.0,,2.5215252152521526,1.0,5.0,2.0,1.0,,5.0,,5.0,4.0,5.0,2.0,3.0,3.0,3.0,,,1.0,2.0,4.0,4.0,,4.0,3.0,2.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,
159159,4.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,,5.0,4.0,3.0,2.9764837625979843,,5.0,4.0,5.0,1.0,,5.0,3.0,,4.0,1.0,,3.0,1.0,,4.0,2.0,,4.0,1.0,5.0,5.0,3.0,2.0,,1.0,1.0,4.0,5.0,3.0,4.0,,4.0
165247,5.0,,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.848175182481752,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
166041,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,3.5277463193657983,4.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
170248,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.7793493635077793,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,
178860,3.0,,5.0,2.0,,4.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,2.7880133185349614,3.0,5.0,4.0,5.0,2.0,4.0,1.0,3.0,3.0,,2.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,,4.0,4.0,4.0,4.0,5.0,4.0,5.0
184705,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,3.276174773289365,1.0,2.0,4.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0
187896,4.0,,4.0,4.0,,,5.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.092375366568915,1.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,,4.0,,,2.0,3.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,,5.0,4.0,4.0,3.0,3.0
188613,3.0,2.0,4.0,,3.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,,,3.1053227633069085,2.0,5.0,3.0,5.0,2.0,5.0,,3.0,4.0,,,,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,,3.0,4.0,,5.0,4.0,4.0,,
199257,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,3.2661955241460543,4.0,3.0,5.0,4.0,5.0,3.0,,5.0,5.0,3.0,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0
199435,3.0,,5.0,4.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,2.9285714285714284,3.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,,3.0,5.0,3.0,4.0,3.0,,4.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0
200255,1.0,2.0,5.0,5.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,,3.0,3.5067064083457526,,3.0,,5.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,,3.0,5.0,,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,5.0,,3.0
206893,1.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,1.0,3.5671641791044775,3.0,,5.0,5.0,,,2.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,2.0,3.0,5.0,,1.0,1.0,4.0,4.0,1.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0
221926,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,,4.0,5.0,4.0,3.830188679245283,3.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,,5.0,3.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
230112,3.0,1.0,5.0,2.0,2.0,,4.0,5.0,4.0,2.0,2.0,2.0,,4.0,5.0,3.0,2.006849315068493,1.0,4.0,5.0,3.0,3.0,,2.0,2.0,4.0,,2.0,3.0,4.0,2.0,,5.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,,5.0,4.0,5.0,4.0,3.0,
235789,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,3.760717846460618,4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0
237263,2.0,1.0,,4.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,,,4.0,2.0,2.1609756097560977,2.0,1.0,4.0,2.0,1.0,2.0,1.0,,2.0,2.0,,1.0,2.0,4.0,2.0,1.0,1.0,,,3.0,2.0,,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,,3.0
238740,4.0,,4.0,,3.0,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,5.0,5.0,4.0,3.253116011505273,2.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,,4.0,4.0,4.0,4.0,,3.0,3.0,4.0,4.0,4.0,5.0,3.0,
240923,4.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,,3.0,5.0,4.0,5.0,5.0,3.0,3.0,3.053404539385848,3.0,,,5.0,4.0,,5.0,4.0,2.0,,1.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,,3.0,1.0,5.0,5.0,
241634,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,4.0,5.0,5.0,3.0589101620029453,3.0,3.0,3.0,5.0,,3.0,,5.0,5.0,4.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0
243612,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0338983050847457,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
257622,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.7746288798920378,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0
272840,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.8439620081411126,5.0,4.0,5.0,5.0,5.0,5.0,,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,4.0
277837,4.0,4.0,5.0,,4.0,4.0,,2.0,3.0,3.0,,3.0,5.0,2.0,5.0,4.0,2.417789757412399,,,1.0,,5.0,5.0,2.0,4.0,3.0,,,5.0,3.0,4.0,2.0,1.0,5.0,4.0,3.0,4.0,,5.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,,5.0,5.0,
285174,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.120464441219158,4.0,2.0,3.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0
302344,4.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,3.520053475935829,,5.0,5.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,,4.0,3.0,4.0,3.0,4.0,5.0,,3.0,4.0,3.0,3.0,3.0,3.0,,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0
303948,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.798004987531172,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0
305344,1.0,2.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,1.91591784338896,5.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,,5.0,5.0,1.0,4.0,2.0,4.0,2.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0
306569,5.0,1.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,2.8799102132435466,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,,3.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,,3.0,2.0,4.0,4.0,3.0,4.0,3.0
307427,3.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.091136079900125,2.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,,2.0,4.0,,3.0,3.0,2.0,3.0,4.0,,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,,3.0
310887,5.0,5.0,5.0,5.0,4.0,,4.0,3.0,3.0,3.0,,4.0,4.0,4.0,3.0,4.0,3.494875549048316,3.0,5.0,4.0,3.0,4.0,3.0,,4.0,5.0,,5.0,4.0,4.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,1.0,2.0
316155,5.0,1.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,,5.0,5.0,3.0,2.7817371937639197,1.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0
319058,5.0,3.0,1.0,3.0,5.0,4.0,1.0,,4.0,,4.0,,2.0,5.0,,3.0,2.9568593615185503,,5.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,1.0,2.0,4.0,,,2.0,,,5.0,5.0,,1.0,2.0,3.0,4.0,1.0,5.0,3.0,,3.0,,5.0
320314,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.655581947743468,4.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
